query,numtasks,elapsedTime,duration,schedulerDelayTime,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,gettingResultTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,executorTimeRatio,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
q64,21935,186319,84210415,396223,81746017,30271837,2067151,519035,972,5482692,1219365,1415874,52,12753639,0,0,1627389952,8973109521,118909351856,63490,4446568,10993651672,1993634,16420,1977214,332346566888,2787975917,329558590971,0,318522747075,9985778920,0.9707352350656389,0.37031574272297574,0.6296842572770243,0.06706983656463654,0.014916506574259147,451255918744,318527193643,0.0,0.0,1.416695113478318,1.0433997883665904,3.105,1.516,420.265,296.652,309.522,296.647
q65,14965,74541,35735389,372913,33147073,7073946,2214197,539714,1080,5583679,1129,553351,126,32318746,0,0,537198592,3264720721,21929263502,100,11719,3277470334,404622,3186,401436,61850456212,484110721,61366345491,0,61850456212,3277470334,0.9275699503369055,0.2134108794462787,0.7865891205537213,0.16845164579086666,3.4060322611290596e-05,83779719714,61850467931,0.0,0.0,1.3545527223409877,1.0,1.242,0.5,78.026,57.603,57.603,57.603
q66,14959,55892,22989893,328370,20377243,1789001,2283609,567636,671,1231857,4471,23140,0,147665,0,0,134742016,1284668992,12600608434,22,19904,22066,21065,174,20891,6692175,56218,6635957,0,6692175,22066,0.8863565828688285,0.08779406517358604,0.912205934826414,0.060452584287285574,0.00021941142871977334,12607300609,6712079,0.0,0.0,1878.3003908327062,1.0,0.932,0.125,11.741,0.006,0.006,0.006
q67,13824,1040978,55428373,305062,53116471,22204702,2006439,500403,401,6560626,48198,294998,0,12993,89124309674,427220140032,16978542592,1659654255,12628102754,100,4013,3438611232,196813,1527,195286,85528185163,642760601,84885424562,0,85528185163,3438611232,0.9582902785185486,0.4180379754520966,0.5819620245479034,0.12351396612926337,0.0009074021502670989,98156287917,85528189176,0.9079837019647956,4.3524480101901695,1.1476483819272016,1.0,17.35,15.812,91.415,79.654,79.654,79.654
q68,14155,56029,18423920,306573,16115316,1217811,2001415,484788,616,801250,62577,43178,0,14377,0,0,273416192,369683835,5904205752,100,6388,61006455,109381,840,108541,1431856678,20201015,1411655663,0,1221729863,46457494,0.8746952874306879,0.07556854609614853,0.9244314539038515,0.04971978210045649,0.0038830761990642938,7336062430,1221736251,0.0,0.0,6.004620411316583,1.1719912243808353,0.934,0.255,6.832,1.138,1.334,1.138
q69,16161,62701,22135976,298757,19837209,1431208,1999346,497281,534,1094208,40961,47820,130,28663813,0,0,729808896,470762191,1116953700,100,3235,462411578,140869,1033,139836,1056225083,11064309,1045160774,0,1056225083,462411578,0.896152444328635,0.0721476493996711,0.9278523506003289,0.05515937247018973,0.0020648570068501067,2173178783,1056228318,0.0,0.0,2.0574896033037433,1.0,1.045,0.68,2.024,0.984,0.984,0.984
q7,13426,79398,23485654,321852,20886339,1490041,2276936,517968,497,968162,11497,22763,30,2748775,0,0,89307264,1661575505,21605125944,100,4472,20729733,147880,1162,146718,628347453,4935571,623411882,0,628347453,20729733,0.8893232864624506,0.07134045846905003,0.92865954153095,0.04635383922476792,0.0005504554915057157,22233473397,628351925,0.0,0.0,35.3837913315854,1.0,1.323,0.083,20.707,0.585,0.585,0.585
q70,15365,60396,24611996,382285,21970382,2161405,2258610,552618,719,1662757,28223,40289,0,14873,0,0,134348800,3318515461,15778234227,76,2868,83222,71076,555,70521,6719804,52607,6667197,0,6719804,83222,0.8926696558865035,0.0983781256056449,0.9016218743943551,0.07568175191491891,0.0012845930489510833,15784954031,6722672,0.0,0.0,2348.0178760766553,1.0,1.007,0.125,14.701,0.006,0.006,0.006
q71,15732,62462,21452953,324205,18876753,1217599,2250881,547892,1114,877204,1395,11628,0,134028,0,0,69437552,472892034,4303845119,272179,3383125,5892691,145962,1143,144819,213443842,1680291,211763551,0,113626395,3082435,0.8799139680210925,0.06450256566900038,0.9354974343309996,0.04647006823684137,7.390042132775695e-05,4517288961,117009520,0.0,0.0,38.606166070931664,1.8784705965546122,1.041,0.065,4.207,0.109,0.199,0.106
q72,16244,279279,55382599,316812,53080336,32589917,1984467,492915,859,1283900,23357,192382,125,23182167,0,0,1293988904,2323057153,18912980760,100,2803,2321855870,520990,4097,516893,46568676670,369934894,46198741776,0,46568676670,2321855870,0.9584298490578241,0.6139734496028811,0.38602655039711886,0.0241878649750823,0.0004400311256507495,65481657430,46568679473,0.0,0.0,1.4061308624386812,1.0,4.655,1.205,60.985,43.37,43.37,43.37
