,App ID,App Name,query,AllSuccessful,aLogSuccess,AppSuccessful,FailureCounts,RunType,aQueryTime,elapsedTime,AppDurationSecs,stageDuration,numStages,numTasks,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,submissionTime,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
32,app-20201104192755-0207,TPC-DS Like Bench,q30,True,True,True,0,cpu,26648.0,58593,63.09,87007,45,15767,15795885,1834033,2023108,512012,805,1419317,174170,95834,4571101,0,0,43620761600,142579421,2496611874,100,10430,272883732,297600,2328,295272,7946434459,109598170,7836836289,0,7818974288,258334778,1604518077980,0.116,0.884,0.09,0.011,10443046333,7818984718,0.0,0.0,1.336,1.016,0.977,40.625,9.726,7.282,7.401,7.282
33,app-20201104192900-0208,TPC-DS Like Bench,q31,True,True,True,0,cpu,32025.0,63111,69.033,141966,56,21189,23175852,2693370,2088735,540482,1362,1947282,975459,152878,7110422,0,0,80542105600,1188127306,6513410582,269,430483,1240514929,406364,3267,403097,11578344068,94130249,11484213819,0,10390127496,1167755146,1604518142574,0.116,0.884,0.084,0.042,18091754650,10390557979,0.0,0.0,1.741,1.114,1.052,75.011,16.849,9.677,10.783,9.677
34,app-20201104193010-0209,TPC-DS Like Bench,q32,False,False,True,0,cpu,,32533,36.871,21306,31,12063,8832581,547602,1662140,399494,699,490752,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604518213306,0.062,0.938,0.056,0.0,0,0,,,,,0.542,0.0,0.0,0.0,0.0,0.0
35,app-20201104193049-0210,TPC-DS Like Bench,q33,True,True,True,0,cpu,18722.0,54672,59.107,62998,44,15663,17607288,1358519,1963890,505691,789,1048828,1783,65217,10679711,0,0,80039903232,160118789,1459938561,100,1799,159335573,142465,1167,141298,2147699649,19609527,2128090122,0,2091991865,148386593,1604518251752,0.077,0.923,0.06,0.0,3607638210,2091993664,0.0,0.0,1.724,1.027,0.911,74.543,3.36,1.948,2.0,1.948
36,app-20201104193149-0211,TPC-DS Like Bench,q34,False,True,True,1,cpu,18615.0,49843,55.396,45045,40,14291,13472861,1347276,2013466,514747,1139,934559,638,23641,6388990,0,0,28534374400,1166431010,6080329263,12383,565560,60164008,105949,858,105091,1999246552,29901562,1969344990,0,1003513625,30151625,1604518312387,0.1,0.9,0.069,0.0,8079575815,1004079185,0.0,0.0,8.047,1.992,0.831,26.575,7.525,0.935,1.862,0.935
37,app-20201104193246-0212,TPC-DS Like Bench,q35,False,False,True,0,cpu,,33228,37.52,21874,31,12063,9023955,543671,1678664,397467,559,520584,0,0,4571101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604518369421,0.06,0.94,0.058,0.0,0,0,,,,,0.554,0.0,0.0,0.0,0.0,0.0
38,app-20201104193326-0213,TPC-DS Like Bench,q36,True,True,True,0,cpu,16771.0,49159,53.364,38134,38,13623,14198751,1474898,2242547,553086,816,955009,13579,16778,7228551,0,0,82067824128,1641545164,20844565540,100,3847,129503,86180,662,85518,10252674,82050,10170624,0,10252674,129503,1604518408587,0.104,0.896,0.067,0.001,20854818214,10256521,0.0,0.0,2033.323,1.0,0.819,76.432,19.423,0.01,0.01,0.01
39,app-20201104193421-0214,TPC-DS Like Bench,q37,True,True,True,0,cpu,23090.0,54845,59.094,48615,38,13681,14496556,2294267,1925389,488566,867,703569,0,78974,4571058,0,0,20198195200,4356077468,17533502660,12,2970,261109823,15251,1750,13501,1375731087,157648171,1218082916,0,20295083394,4320005325,1604518463528,0.158,0.842,0.049,0.0,18909233747,20295086364,0.0,0.0,0.932,0.068,0.914,18.811,17.611,18.901,1.281,18.901
40,app-20201104193521-0215,TPC-DS Like Bench,q38,False,False,True,0,cpu,,32211,36.442,20815,31,12063,8813799,545777,1696253,393470,868,507832,0,0,4571101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604518524214,0.062,0.938,0.058,0.0,0,0,,,,,0.537,0.0,0.0,0.0,0.0,0.0
41,app-20201104193559-0216,TPC-DS Like Bench,q39a,False,True,True,1,cpu,22433.0,54350,60.183,52307,42,13115,11366662,1005426,1869773,479042,1297,577394,4527,30461,4571058,0,0,26869760000,32186120,169330039,19645,1204065,32811215,177117,1384,175733,551745840,9589883,542155957,0,532782318,32255332,1604518562230,0.088,0.912,0.051,0.0,721075879,533986383,0.0,0.0,1.35,1.036,0.906,25.024,0.672,0.497,0.514,0.496
42,app-20201104193701-0217,TPC-DS Like Bench,q39b,True,True,True,0,cpu,20223.0,50871,56.524,48605,42,13115,10334918,973649,1838453,482124,1156,547614,1214,21517,4571058,0,0,26869760000,32186120,169330039,858,574613,32261318,104054,817,103237,532931871,8171691,524760180,0,522554089,31971088,1604518623945,0.094,0.906,0.053,0.0,702261910,523128702,0.0,0.0,1.342,1.02,0.848,25.024,0.654,0.487,0.496,0.487
